komentar,label,komentar_cleaned_p1,tokenized_text_p2,text_slang_p2,text_slang_str_p2,text_stopword_p2,text_stemmed_p2
aku kelas 1,0,aku kelas 1,"['aku', 'kelas', '1']","['aku', 'kelas', '1']",aku kelas 1,kelas 1,kelas 1
"Ｍandalika𝟳𝟳 aku cba, langsung bawa pulang cuan gede",1,mandalika77 aku cba langsung bawa pulang cuan gede,"['mandalika77', 'aku', 'cba', 'langsung', 'bawa', 'pulang', 'cuan', 'gede']","['mandalika77', 'aku', 'cba', 'langsung', 'bawa', 'pulang', 'cuan', 'gede']",mandalika77 aku cba langsung bawa pulang cuan gede,mandalika77 cba langsung bawa pulang cuan gede,mandalika77 cba langsung bawa pulang cuan gede
Baiknya merk  yg      sdh  dikenal,0,baiknya merk yg sdh dikenal,"['baiknya', 'merk', 'yg', 'sdh', 'dikenal']","['baiknya', 'merk', 'yg', 'sudah', 'dikenal']",baiknya merk yg sudah dikenal,baiknya merk yg dikenal,baik merk yg kenal
rawr,0,rawr,['rawr'],['rawr'],rawr,rawr,rawr
29:05 Giiileeeeeeeeeee,0,29 o5 giiileeeeeeeeeee,"['29', 'o5', 'giiileeeeeeeeeee']","['29', 'o5', 'giiileeeeeeeeeee']",29 o5 giiileeeeeeeeeee,29 o5 giiileeeeeeeeeee,29 o5 giiileeeeeeeeeee
​ @angeliart_  memang diundang?,0,angeliart memang diundang,"['angeliart', 'memang', 'diundang']","['angeliart', 'memang', 'diundang']",angeliart memang diundang,angeliart diundang,angeliart undang
"gue 𝘼𝙇𝙀𝙓𝙄𝙎17 aja , .",1,gue alexis17 aja,"['gue', 'alexis17', 'aja']","['saya', 'alexis17', 'aja']",saya alexis17 aja,alexis17 aja,alexis17 aja
Journeynya belum ada video baru mas Ridwan?,0,journeynya belum ada video baru mas ridwan,"['journeynya', 'belum', 'ada', 'video', 'baru', 'mas', 'ridwan']","['journeynya', 'belum', 'ada', 'video', 'baru', 'mas', 'ridwan']",journeynya belum ada video baru mas ridwan,journeynya video mas ridwan,journeynya video mas ridwan
Happy Aniveseri.,0,happy aniveseri,"['happy', 'aniveseri']","['happy', 'aniveseri']",happy aniveseri,happy aniveseri,happy aniveseri
Lbwk lagi bang? Lambonya,0,lbwk lagi bang lambonya,"['lbwk', 'lagi', 'bang', 'lambonya']","['lbwk', 'lagi', 'bang', 'lambonya']",lbwk lagi bang lambonya,lbwk bang lambonya,lbwk bang lambo
"auto jepey ! λ l e x i s 1 7 ,",1,auto jepey llexis 1 7,"['auto', 'jepey', 'llexis', '1', '7']","['auto', 'jepey', 'llexis', '1', '7']",auto jepey llexis 1 7,auto jepey llexis 1 7,auto jepey llexis 1 7
slot kntol ,0,slot kntol,"['slot', 'kntol']","['slot', 'kntol']",slot kntol,slot kntol,slot kntol
Wuling confero dan Cortez udh hilang ya? 🙄🙄,0,wuling confero dan cortez udh hilang ya,"['wuling', 'confero', 'dan', 'cortez', 'udh', 'hilang', 'ya']","['wuling', 'confero', 'dan', 'cortez', 'sudah', 'hilang', 'ya']",wuling confero dan cortez sudah hilang ya,wuling confero cortez hilang ya,wuling confero cortez hilang ya
ini episode paling  menyenangkan di tonton dr yg lain :_Sip:,0,ini episode paling menyenangkan di tonton dr yg lain sip,"['ini', 'episode', 'paling', 'menyenangkan', 'di', 'tonton', 'dr', 'yg', 'lain', 'sip']","['ini', 'episode', 'paling', 'menyenangkan', 'di', 'tonton', 'dr', 'yg', 'lain', 'sip']",ini episode paling menyenangkan di tonton dr yg lain sip,episode menyenangkan tonton dr yg sip,episode senang tonton dr yg sip
"Video ini bikin ngakak sampe sakit pinggang! Kalo mau sakit pinggang karena bawa duit banyak, main di KYT4D aja! 💸😆",1,video ini bikin ngakak sampe sakit pinggang kalo mau sakit pinggang karena bawa duit banyak main di kyt4d aja,"['video', 'ini', 'bikin', 'ngakak', 'sampe', 'sakit', 'pinggang', 'kalo', 'mau', 'sakit', 'pinggang', 'karena', 'bawa', 'duit', 'banyak', 'main', 'di', 'kyt4d', 'aja']","['video', 'ini', 'bikin', 'ngakak', 'sampe', 'sakit', 'pinggang', 'kalo', 'mau', 'sakit', 'pinggang', 'karena', 'bawa', 'duit', 'banyak', 'main', 'di', 'kyt4d', 'aja']",video ini bikin ngakak sampe sakit pinggang kalo mau sakit pinggang karena bawa duit banyak main di kyt4d aja,video bikin ngakak sampe sakit pinggang kalo sakit pinggang bawa duit main kyt4d aja,video bikin ngakak sampe sakit pinggang kalo sakit pinggang bawa duit main kyt4d aja
Asli beneran gampang sc*tter di 🚩 𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵 🚩 cari aja di google,1,asli beneran gampang sc tter di berkah99 cari aja di google,"['asli', 'beneran', 'gampang', 'sc', 'tter', 'di', 'berkah99', 'cari', 'aja', 'di', 'google']","['asli', 'beneran', 'gampang', 'sc', 'tter', 'di', 'berkah99', 'cari', 'aja', 'di', 'google']",asli beneran gampang sc tter di berkah99 cari aja di google,asli beneran gampang sc tter berkah99 cari aja google,asli beneran gampang sc tter berkah99 cari aja google
vivo x200 ultra bng,0,vivo x2oo ultra bng,"['vivo', 'x2oo', 'ultra', 'bng']","['vivo', 'x2oo', 'ultra', 'bng']",vivo x2oo ultra bng,vivo x2oo ultra bng,vivo x2oo ultra bng
89.000 tercepat,0,89 ooo tercepat,"['89', 'ooo', 'tercepat']","['89', 'ooo', 'tercepat']",89 ooo tercepat,89 ooo tercepat,89 ooo cepat
Mana band nya dulu ,0,mana band nya dulu,"['mana', 'band', 'nya', 'dulu']","['mana', 'band', 'nya', 'dulu']",mana band nya dulu,band nya,band nya
Dari mana duitnya,0,dari mana duitnya,"['dari', 'mana', 'duitnya']","['dari', 'mana', 'duitnya']",dari mana duitnya,duitnya,duit
Si asep gadiajak,0,si asep gadiajak,"['si', 'asep', 'gadiajak']","['si', 'asep', 'gadiajak']",si asep gadiajak,si asep gadiajak,si asep gadiajak
MANA NI ADMIN NYA????,0,mana ni admin nya,"['mana', 'ni', 'admin', 'nya']","['mana', 'ni', 'admin', 'nya']",mana ni admin nya,ni admin nya,ni admin nya
Jan elok tnn,0,jan elok tnn,"['jan', 'elok', 'tnn']","['jan', 'elok', 'tnn']",jan elok tnn,jan elok tnn,jan elok tnn
semoga rezeki berasal 𝘿𝐸𝘞a𝐃о𝙍a membawa manfaat !,1,semoga rezeki berasal dewadora membawa manfaat,"['semoga', 'rezeki', 'berasal', 'dewadora', 'membawa', 'manfaat']","['semoga', 'rezeki', 'berasal', 'dewadora', 'membawa', 'manfaat']",semoga rezeki berasal dewadora membawa manfaat,semoga rezeki berasal dewadora membawa manfaat,moga rezeki asal dewadora bawa manfaat
Ini Baru ngasih terus SUGES4D,1,ini baru ngasih terus suges4d,"['ini', 'baru', 'ngasih', 'terus', 'suges4d']","['ini', 'baru', 'ngasih', 'terus', 'suges4d']",ini baru ngasih terus suges4d,ngasih suges4d,ngasih suges4d
:face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out:,0,face fuchsia tongue out face fuchsia tongue out face fuchsia tongue out face fuchsia tongue out face fuchsia tongue out face fuchsia tongue out face fuchsia tongue out,"['face', 'fuchsia', 'tongue', 'out', 'face', 'fuchsia', 'tongue', 'out', 'face', 'fuchsia', 'tongue', 'out', 'face', 'fuchsia', 'tongue', 'out', 'face', 'fuchsia', 'tongue', 'out', 'face', 'fuchsia', 'tongue', 'out', 'face', 'fuchsia', 'tongue', 'out']","['face', 'fuchsia', 'tongue', 'out', 'face', 'fuchsia', 'tongue', 'out', 'face', 'fuchsia', 'tongue', 'out', 'face', 'fuchsia', 'tongue', 'out', 'face', 'fuchsia', 'tongue', 'out', 'face', 'fuchsia', 'tongue', 'out', 'face', 'fuchsia', 'tongue', 'out']",face fuchsia tongue out face fuchsia tongue out face fuchsia tongue out face fuchsia tongue out face fuchsia tongue out face fuchsia tongue out face fuchsia tongue out,face fuchsia tongue face fuchsia tongue face fuchsia tongue face fuchsia tongue face fuchsia tongue face fuchsia tongue face fuchsia tongue,face fuchsia tongue face fuchsia tongue face fuchsia tongue face fuchsia tongue face fuchsia tongue face fuchsia tongue face fuchsia tongue
Presiden Prabowo Tidak Menjawab,0,presiden prabowo tidak menjawab,"['presiden', 'prabowo', 'tidak', 'menjawab']","['presiden', 'prabowo', 'tidak', 'menjawab']",presiden prabowo tidak menjawab,presiden prabowo,presiden prabowo
mending ini dr pada yg ngomongin bonus demografi😂😂,0,mending ini dr pada yg ngomongin bonus demografi,"['mending', 'ini', 'dr', 'pada', 'yg', 'ngomongin', 'bonus', 'demografi']","['mending', 'ini', 'dr', 'pada', 'yg', 'ngomongin', 'bonus', 'demografi']",mending ini dr pada yg ngomongin bonus demografi,mending dr yg ngomongin bonus demografi,mending dr yg ngomongin bonus demografi
kok di tv ga ada,0,kok di tv ga ada,"['kok', 'di', 'tv', 'ga', 'ada']","['kok', 'di', 'tv', 'tidak', 'ada']",kok di tv tidak ada,tv,tv
Gass PAS4D⭐ Ladang Cuan⭐,1,gass pas4d ladang cuan,"['gass', 'pas4d', 'ladang', 'cuan']","['gass', 'pas4d', 'ladang', 'cuan']",gass pas4d ladang cuan,gass pas4d ladang cuan,gass pas4d ladang cuan
Sehat selalu semuanya salam dari 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 gampang jepe,1,sehat selalu semuanya salam dari weton88 gampang jepe,"['sehat', 'selalu', 'semuanya', 'salam', 'dari', 'weton88', 'gampang', 'jepe']","['sehat', 'selalu', 'semuanya', 'salam', 'dari', 'weton88', 'gampang', 'jepe']",sehat selalu semuanya salam dari weton88 gampang jepe,sehat salam weton88 gampang jepe,sehat salam weton88 gampang jepe
ini sampe jam berapa ya?,0,ini sampe jam berapa ya,"['ini', 'sampe', 'jam', 'berapa', 'ya']","['ini', 'sampe', 'jam', 'berapa', 'ya']",ini sampe jam berapa ya,sampe jam ya,sampe jam ya
"P U L A U 7 7 7 gak pernah ngecewain, jepe gaspol bro!",1,pulau 7 7 7 gak pernah ngecewain jepe gaspol bro,"['pulau', '7', '7', '7', 'gak', 'pernah', 'ngecewain', 'jepe', 'gaspol', 'bro']","['pulau', '7', '7', '7', 'tidak', 'pernah', 'ngecewain', 'jepe', 'gaspol', 'bro']",pulau 7 7 7 tidak pernah ngecewain jepe gaspol bro,pulau 7 7 7 ngecewain jepe gaspol bro,pulau 7 7 7 ngecewain jepe gaspol bro
Kapal apinya,0,kapal apinya,"['kapal', 'apinya']","['kapal', 'apinya']",kapal apinya,kapal apinya,kapal api
Saya Mau juga beli.. Dmn itu?,0,saya mau juga beli dmn itu,"['saya', 'mau', 'juga', 'beli', 'dmn', 'itu']","['saya', 'mau', 'juga', 'beli', 'dmn', 'itu']",saya mau juga beli dmn itu,beli dmn,beli dmn
Ternyata betul bgt yang dibilang teman gue. main di M𝗮𝘯𝐝𝗮𝑙𝗶𝒌𝐚𝟟𝟳! gampang bgt dapetin maxwln. apalagi member baru positif bisa WD,1,ternyata betul bgt yang dibilang teman gue main di mandalika77 gampang bgt dapetin maxwln apalagi member baru positif bisa wd,"['ternyata', 'betul', 'bgt', 'yang', 'dibilang', 'teman', 'gue', 'main', 'di', 'mandalika77', 'gampang', 'bgt', 'dapetin', 'maxwln', 'apalagi', 'member', 'baru', 'positif', 'bisa', 'wd']","['ternyata', 'betul', 'bgt', 'yang', 'dibilang', 'teman', 'saya', 'main', 'di', 'mandalika77', 'gampang', 'bgt', 'dapetin', 'maxwln', 'apalagi', 'member', 'baru', 'positif', 'bisa', 'wd']",ternyata betul bgt yang dibilang teman saya main di mandalika77 gampang bgt dapetin maxwln apalagi member baru positif bisa wd,bgt dibilang teman main mandalika77 gampang bgt dapetin maxwln member positif wd,bgt bilang teman main mandalika77 gampang bgt dapetin maxwln member positif wd
"Swert Bonanja gacor banget, nggak nyesel",1,swert bonanja gacor banget nggak nyesel,"['swert', 'bonanja', 'gacor', 'banget', 'nggak', 'nyesel']","['swert', 'bonanja', 'gacor', 'banget', 'tidak', 'nyesel']",swert bonanja gacor banget tidak nyesel,swert bonanja gacor banget nyesel,swert bonanja gacor banget nyesel
aku mau ki ra dong wjnc ki opo,0,aku mau ki ra dong wjnc ki opo,"['aku', 'mau', 'ki', 'ra', 'dong', 'wjnc', 'ki', 'opo']","['aku', 'mau', 'ki', 'ra', 'dong', 'wjnc', 'ki', 'opo']",aku mau ki ra dong wjnc ki opo,ki ra wjnc ki opo,ki ra wjnc ki opo
"Ki Widodho Darmoko, drs publisistik & LKN JW TIMUR .... Mengucapkan $elamat DIRGAHAYU YOGYA",0,ki widodho darmoko drs publisistik lkn jw timur mengucapkan elamat dirgahayu yogya,"['ki', 'widodho', 'darmoko', 'drs', 'publisistik', 'lkn', 'jw', 'timur', 'mengucapkan', 'elamat', 'dirgahayu', 'yogya']","['ki', 'widodho', 'darmoko', 'drs', 'publisistik', 'lkn', 'jw', 'timur', 'mengucapkan', 'elamat', 'dirgahayu', 'yogya']",ki widodho darmoko drs publisistik lkn jw timur mengucapkan elamat dirgahayu yogya,ki widodho darmoko drs publisistik lkn jw timur elamat dirgahayu yogya,ki widodho darmoko drs publisistik lkn jw timur elamat dirgahayu yogya
"Seneng model riview gini , pakai bahasa sehari hari",0,seneng model riview gini pakai bahasa sehari hari,"['seneng', 'model', 'riview', 'gini', 'pakai', 'bahasa', 'sehari', 'hari']","['seneng', 'model', 'riview', 'gini', 'pakai', 'bahasa', 'sehari', 'hari']",seneng model riview gini pakai bahasa sehari hari,seneng model riview gini pakai bahasa sehari,neng model riview gin pakai bahasa hari
STOP JUDOL⛔⛔⛔,0,stop judol,"['stop', 'judol']","['stop', 'judol']",stop judol,stop judol,stop judol
"ＭΛＮDALIKΛ𝟟𝟟 gachor bgt, menang terus",1,mlndalikl77 gachor bgt menang terus,"['mlndalikl77', 'gachor', 'bgt', 'menang', 'terus']","['mlndalikl77', 'gachor', 'bgt', 'menang', 'terus']",mlndalikl77 gachor bgt menang terus,mlndalikl77 gachor bgt menang,mlndalikl77 gachor bgt menang
"M𝗮𝘯𝐝𝗮𝑙𝗶𝒌𝐚𝟟𝟳 gua main bentar aja, lgnsung WD gede",1,mandalika77 gua main bentar aja lgnsung wd gede,"['mandalika77', 'gua', 'main', 'bentar', 'aja', 'lgnsung', 'wd', 'gede']","['mandalika77', 'gua', 'main', 'bentar', 'aja', 'lgnsung', 'wd', 'gede']",mandalika77 gua main bentar aja lgnsung wd gede,mandalika77 gua main bentar aja lgnsung wd gede,mandalika77 gua main bentar aja lgnsung wd gede
sih 𝘼𝙇𝙀𝙓𝙄𝙎17 trending gitu ? gila ?,1,sih alexis17 trending gitu gila,"['sih', 'alexis17', 'trending', 'gitu', 'gila']","['sih', 'alexis17', 'trending', 'gitu', 'gila']",sih alexis17 trending gitu gila,sih alexis17 trending gitu gila,sih alexis17 trending gitu gila
kita-kita barusan ngecuan ＢΟ𝕎Ｏ❼𝟩 juragan gas,1,kita kita barusan ngecuan bowo7 juragan gas,"['kita', 'kita', 'barusan', 'ngecuan', 'bowo7', 'juragan', 'gas']","['kita', 'kita', 'barusan', 'ngecuan', 'bowo7', 'juragan', 'gas']",kita kita barusan ngecuan bowo7 juragan gas,barusan ngecuan bowo7 juragan gas,barusan ngecuan bowo7 juragan gas
info sampai jam brapa ya,0,info sampai jam brapa ya,"['info', 'sampai', 'jam', 'brapa', 'ya']","['info', 'sampai', 'jam', 'brapa', 'ya']",info sampai jam brapa ya,info jam brapa ya,info jam brapa ya
WKWKWKWKWKW,0,wkwkwkwkwkw,['wkwkwkwkwkw'],['wkwkwkwkwkw'],wkwkwkwkwkw,wkwkwkwkwkw,wkwkwkwkwkw
Emg udah keluar dari autonetmagz ?,0,emg udah keluar dari autonetmagz,"['emg', 'udah', 'keluar', 'dari', 'autonetmagz']","['memang', 'sudah', 'keluar', 'dari', 'autonetmagz']",memang sudah keluar dari autonetmagz,autonetmagz,autonetmagz
Bermanfaat sekali kak,0,bermanfaat sekali kak,"['bermanfaat', 'sekali', 'kak']","['bermanfaat', 'sekali', 'kak']",bermanfaat sekali kak,bermanfaat kak,manfaat kak
"ALEXIS-17☯ tuh emang beda level sih, ga kaya yang laen",1,alexis 17 tuh emang beda level sih ga kaya yang laen,"['alexis', '17', 'tuh', 'emang', 'beda', 'level', 'sih', 'ga', 'kaya', 'yang', 'laen']","['alexis', '17', 'tuh', 'emang', 'beda', 'level', 'sih', 'tidak', 'kaya', 'yang', 'laen']",alexis 17 tuh emang beda level sih tidak kaya yang laen,alexis 17 tuh emang beda level sih kaya laen,alexis 17 tuh emang beda level sih kaya laen
"sibuk kerja , sibuk cuan pu lau tujuh tujuh tujuh .",1,sibuk kerja sibuk cuan pu lau tujuh tujuh tujuh,"['sibuk', 'kerja', 'sibuk', 'cuan', 'pu', 'lau', 'tujuh', 'tujuh', 'tujuh']","['sibuk', 'kerja', 'sibuk', 'cuan', 'pu', 'lau', 'tujuh', 'tujuh', 'tujuh']",sibuk kerja sibuk cuan pu lau tujuh tujuh tujuh,sibuk kerja sibuk cuan pu lau tujuh tujuh tujuh,sibuk kerja sibuk cuan pu lau tujuh tujuh tujuh
Gak perlu pusing mikirin biaya nikah kalo udah join ALEXIS⭐17⭐.,1,gak perlu pusing mikirin biaya nikah kalo udah join alexis17,"['gak', 'perlu', 'pusing', 'mikirin', 'biaya', 'nikah', 'kalo', 'udah', 'join', 'alexis17']","['tidak', 'perlu', 'pusing', 'mikirin', 'biaya', 'nikah', 'kalo', 'sudah', 'join', 'alexis17']",tidak perlu pusing mikirin biaya nikah kalo sudah join alexis17,pusing mikirin biaya nikah kalo join alexis17,pusing mikirin biaya nikah kalo join alexis17
Kenapa d jual 3 unitnya,0,kenapa d jual 3 unitnya,"['kenapa', 'd', 'jual', '3', 'unitnya']","['kenapa', 'd', 'jual', '3', 'unitnya']",kenapa d jual 3 unitnya,jual 3 unitnya,jual 3 unit
ndelok perdana ning kene,0,ndelok perdana ning kene,"['ndelok', 'perdana', 'ning', 'kene']","['ndelok', 'perdana', 'ning', 'kene']",ndelok perdana ning kene,ndelok perdana ning kene,ndelok perdana ning kene
Mau beliin ?,0,mau beliin,"['mau', 'beliin']","['mau', 'beliin']",mau beliin,beliin,beliin
"rezeki 𝑺𝑼𝑯𝑼𝟑𝟐𝟖 sungguh , terima kasih tuhan !",1,rezeki suhu328 sungguh terima kasih tuhan,"['rezeki', 'suhu328', 'sungguh', 'terima', 'kasih', 'tuhan']","['rezeki', 'suhu328', 'sungguh', 'terima', 'kasih', 'tuhan']",rezeki suhu328 sungguh terima kasih tuhan,rezeki suhu328 sungguh terima kasih tuhan,rezeki suhu328 sungguh terima kasih tuhan
keuntungan а𝘎𝙐𝙎𝐓ot𝑂 membeli rumah mudah .,1,keuntungan agustoto membeli rumah mudah,"['keuntungan', 'agustoto', 'membeli', 'rumah', 'mudah']","['keuntungan', 'agustoto', 'membeli', 'rumah', 'mudah']",keuntungan agustoto membeli rumah mudah,keuntungan agustoto membeli rumah mudah,untung agustoto beli rumah mudah
"gue udah ga bayangin hidup alexis17 ! sih , udah sumber rezeki utama",1,gue udah ga bayangin hidup alexis17 sih udah sumber rezeki utama,"['gue', 'udah', 'ga', 'bayangin', 'hidup', 'alexis17', 'sih', 'udah', 'sumber', 'rezeki', 'utama']","['saya', 'sudah', 'tidak', 'bayangin', 'hidup', 'alexis17', 'sih', 'sudah', 'sumber', 'rezeki', 'utama']",saya sudah tidak bayangin hidup alexis17 sih sudah sumber rezeki utama,bayangin hidup alexis17 sih sumber rezeki utama,bayangin hidup alexis17 sih sumber rezeki utama
Gimana cara minta bapaknya😅,0,gimana cara minta bapaknya,"['gimana', 'cara', 'minta', 'bapaknya']","['gimana', 'cara', 'minta', 'bapaknya']",gimana cara minta bapaknya,gimana bapaknya,gimana bapak
DP 5juta berapa tahun cicilan ya,0,dp 5juta berapa tahun cicilan ya,"['dp', '5juta', 'berapa', 'tahun', 'cicilan', 'ya']","['dp', '5juta', 'berapa', 'tahun', 'cicilan', 'ya']",dp 5juta berapa tahun cicilan ya,dp 5juta cicilan ya,dp 5juta cicil ya
Ｐｕｌａｕ７７７ selalu kasih pengalaman baru,1,pulau777 selalu kasih pengalaman baru,"['pulau777', 'selalu', 'kasih', 'pengalaman', 'baru']","['pulau777', 'selalu', 'kasih', 'pengalaman', 'baru']",pulau777 selalu kasih pengalaman baru,pulau777 kasih pengalaman,pulau777 kasih alam
"pagi-pagi udah senyum ? ya iyalah , cuan pu lau tujuh tujuh tujuh !",1,pagi pagi udah senyum ya iyalah cuan pu lau tujuh tujuh tujuh,"['pagi', 'pagi', 'udah', 'senyum', 'ya', 'iyalah', 'cuan', 'pu', 'lau', 'tujuh', 'tujuh', 'tujuh']","['pagi', 'pagi', 'sudah', 'senyum', 'ya', 'iyalah', 'cuan', 'pu', 'lau', 'tujuh', 'tujuh', 'tujuh']",pagi pagi sudah senyum ya iyalah cuan pu lau tujuh tujuh tujuh,pagi pagi senyum ya iyalah cuan pu lau tujuh tujuh tujuh,pagi pagi senyum ya iya cuan pu lau tujuh tujuh tujuh
"swert bonanja gacir , jepe maen",1,swert bonanja gacir jepe maen,"['swert', 'bonanja', 'gacir', 'jepe', 'maen']","['swert', 'bonanja', 'gacir', 'jepe', 'maen']",swert bonanja gacir jepe maen,swert bonanja gacir jepe maen,swert bonanja gacir jepe maen
plokk,0,plokk,['plokk'],['plokk'],plokk,plokk,plokk
jokes sea lion gak pernah gagal sih wkwk,0,jokes sea lion gak pernah gagal sih wkwk,"['jokes', 'sea', 'lion', 'gak', 'pernah', 'gagal', 'sih', 'wkwk']","['jokes', 'sea', 'lion', 'tidak', 'pernah', 'gagal', 'sih', 'wkwk']",jokes sea lion tidak pernah gagal sih wkwk,jokes sea lion gagal sih wkwk,jokes sea lion gagal sih wkwk
"TOMBOL LIKE ZIKO BANGUN MOTOR, TERUTAMA MIO 😅😅😅",0,tombol like ziko bangun motor terutama mio,"['tombol', 'like', 'ziko', 'bangun', 'motor', 'terutama', 'mio']","['tombol', 'like', 'ziko', 'bangun', 'motor', 'terutama', 'mio']",tombol like ziko bangun motor terutama mio,tombol like ziko bangun motor mio,tombol like ziko bangun motor mio
"Parah banget! 𝘈𝐺𝐔𝑆𝐓𝑂𝙏𝘖bikin candu berat, susah banget buat berhenti!",1,parah banget agustotobikin candu berat susah banget buat berhenti,"['parah', 'banget', 'agustotobikin', 'candu', 'berat', 'susah', 'banget', 'buat', 'berhenti']","['parah', 'banget', 'agustotobikin', 'candu', 'berat', 'susah', 'banget', 'buat', 'berhenti']",parah banget agustotobikin candu berat susah banget buat berhenti,parah banget agustotobikin candu berat susah banget berhenti,parah banget agustotobikin candu berat susah banget henti
@ anda benar,0,anda benar,"['anda', 'benar']","['anda', 'benar']",anda benar,,
"Jepe pertama kali maen, auto betah",1,jepe pertama kali maen auto betah,"['jepe', 'pertama', 'kali', 'maen', 'auto', 'betah']","['jepe', 'pertama', 'kali', 'maen', 'auto', 'betah']",jepe pertama kali maen auto betah,jepe kali maen auto betah,jepe kali maen auto betah
Semua orang bilang ALEXIS⭐17⭐ tuh life changer banget!,1,semua orang bilang alexis17 tuh life changer banget,"['semua', 'orang', 'bilang', 'alexis17', 'tuh', 'life', 'changer', 'banget']","['semua', 'orang', 'bilang', 'alexis17', 'tuh', 'life', 'changer', 'banget']",semua orang bilang alexis17 tuh life changer banget,orang bilang alexis17 tuh life changer banget,orang bilang alexis17 tuh life changer banget
 @sobat.kuliner  oh iya ahok dan kang dedy mantep tuh,0,sobat kuliner oh iya ahok dan kang dedy mantep tuh,"['sobat', 'kuliner', 'oh', 'iya', 'ahok', 'dan', 'kang', 'dedy', 'mantep', 'tuh']","['sobat', 'kuliner', 'oh', 'iya', 'ahok', 'dan', 'kang', 'dedy', 'mantep', 'tuh']",sobat kuliner oh iya ahok dan kang dedy mantep tuh,sobat kuliner oh iya ahok kang dedy mantep tuh,sobat kuliner oh iya ahok kang dedy mantep tuh
Salah apa negeri ini,0,salah apa negeri ini,"['salah', 'apa', 'negeri', 'ini']","['salah', 'apa', 'negeri', 'ini']",salah apa negeri ini,salah negeri,salah negeri
"ngopi santai kampus , favorit alexis17 nih .",1,ngopi santai kampus favorit alexis17 nih,"['ngopi', 'santai', 'kampus', 'favorit', 'alexis17', 'nih']","['ngopi', 'santai', 'kampus', 'favorit', 'alexis17', 'nih']",ngopi santai kampus favorit alexis17 nih,ngopi santai kampus favorit alexis17 nih,ngopi santai kampus favorit alexis17 nih
05:35 P U L A U W I N tempat ngadu nasib wkwkw,1,o5 35 pulauwin tempat ngadu nasib wkwkw,"['o5', '35', 'pulauwin', 'tempat', 'ngadu', 'nasib', 'wkwkw']","['o5', '35', 'pulauwin', 'tempat', 'ngadu', 'nasib', 'wkwkw']",o5 35 pulauwin tempat ngadu nasib wkwkw,o5 35 pulauwin ngadu nasib wkwkw,o5 35 pulauwin ngadu nasib wkwkw
"Makswin brusan di Gates, seneng banget",1,makswin brusan di gates seneng banget,"['makswin', 'brusan', 'di', 'gates', 'seneng', 'banget']","['makswin', 'brusan', 'di', 'gates', 'seneng', 'banget']",makswin brusan di gates seneng banget,makswin brusan gates seneng banget,makswin brusan gates neng banget
kayaknya br latihan buat besok bikin video pengunduran diri nih...,0,kayaknya br latihan buat besok bikin video pengunduran diri nih,"['kayaknya', 'br', 'latihan', 'buat', 'besok', 'bikin', 'video', 'pengunduran', 'diri', 'nih']","['kayaknya', 'br', 'latihan', 'buat', 'besok', 'bikin', 'video', 'pengunduran', 'diri', 'nih']",kayaknya br latihan buat besok bikin video pengunduran diri nih,kayaknya br latihan besok bikin video pengunduran nih,kayak br latih besok bikin video undur nih
Valentinus resa gak diajak bang?,0,valentinus resa gak diajak bang,"['valentinus', 'resa', 'gak', 'diajak', 'bang']","['valentinus', 'resa', 'tidak', 'diajak', 'bang']",valentinus resa tidak diajak bang,valentinus resa diajak bang,valentinus resa ajak bang
Naskahnya dibuat sama ai,0,naskahnya dibuat sama ai,"['naskahnya', 'dibuat', 'sama', 'ai']","['naskahnya', 'dibuat', 'sama', 'ai']",naskahnya dibuat sama ai,naskahnya ai,naskah ai
 @ekowaryono8099  saking luasnya ga ada isinya,0,ekowaryono8o99 saking luasnya ga ada isinya,"['ekowaryono8o99', 'saking', 'luasnya', 'ga', 'ada', 'isinya']","['ekowaryono8o99', 'saking', 'luasnya', 'tidak', 'ada', 'isinya']",ekowaryono8o99 saking luasnya tidak ada isinya,ekowaryono8o99 saking luasnya isinya,ekowaryono8o99 saking luas isi
"Rezeki hari ini datang dari A𝙂𝙐𝐒𝘛𝙊𝙏𝐎, nggak nyangka!",1,rezeki hari ini datang dari agustoto nggak nyangka,"['rezeki', 'hari', 'ini', 'datang', 'dari', 'agustoto', 'nggak', 'nyangka']","['rezeki', 'hari', 'ini', 'datang', 'dari', 'agustoto', 'tidak', 'nyangka']",rezeki hari ini datang dari agustoto tidak nyangka,rezeki agustoto nyangka,rezeki agustoto nyangka
Salam dari Bangka Belitung,0,salam dari bangka belitung,"['salam', 'dari', 'bangka', 'belitung']","['salam', 'dari', 'bangka', 'belitung']",salam dari bangka belitung,salam bangka belitung,salam bangka belitung
"gak gagal , weton88",1,gak gagal weton88,"['gak', 'gagal', 'weton88']","['tidak', 'gagal', 'weton88']",tidak gagal weton88,gagal weton88,gagal weton88
